press;unit_number;plating_tank;proof_cut;viscosity;caliper;ink_temperature;humifity;roughness;blade_pressure;varnish_pct;press_speed;ink_pct;solvent_pct;esa_voltage;esa_amperage;wax;hardener;roller_durometer;current_density;anode_space_ratio;chrome_content;grain_screened_no;grain_screened_yes;ink_color_key;proof_on_ctd_ink_no;proof_on_ctd_ink_yes;blade_mfg_benton;blade_mfg_uddeholm;cylinder_division_gallatin;paper_type_coated;paper_type_super;paper_type_uncoated;ink_type_coated;ink_type_cover;ink_type_uncoated;direct_steam_no;direct_steam_yes;solvent_type_line;solvent_type_naptha;solvent_type_xylol;type_on_cylinder_no;type_on_cylinder_yes;press_type_albert70;press_type_motter70;press_type_motter94;press_type_woodhoe70;cylinder_size_catalog;cylinder_size_spiegel;cylinder_size_tabloid;paper_mill_location_canadian;paper_mill_location_mideuropean;paper_mill_location_northus;paper_mill_location_scandanavian;paper_mill_location_southus;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
815.0;2.0;1910.0;45.0;42.0;0.233;16.0;84.0;0.625;28.0;0.0;2220.0;54.3;45.7;0.0;0.0;2.5;1.0;30.0;35.0;100.0;100.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1;1;press_speed > 2027.50 AND solvent_pct > 41.20;2;0.9673366834170855;0.0436;0.85;0.057432432432432436
815.0;9.0;1910.0;37.5;56.0;0.3;14.0;82.0;0.625;28.0;0.0;1700.0;58.8;41.2;2.0;0.0;2.5;0.5;40.0;35.0;100.0;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;cylinder_size_catalog > 0.00 AND esa_voltage > 0.00 AND unit_number > 2.00;3;0.9834183673469388;0.037;0.9411764705882353;0.05405405405405406
815.0;1.0;1910.0;45.0;46.0;0.2;14.2;75.0;0.75;25.0;3.4;2050.0;56.75;38.5;0.0;0.0;2.5;1.0;34.0;40.0;108.1;100.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;varnish_pct <= 3.40 AND paper_type_super > 0.00;2;1.0;0.0454;1.0;0.15217391304347827
827.0;9.0;1911.0;45.0;42.0;0.333;14.0;75.0;1.0;20.0;0.0;1800.0;58.9;41.1;8.0;0.0;3.0;2.0;35.0;40.0;100.0;100.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;esa_voltage > 2.00 AND grain_screened_no > 0.00 AND press > 824.00;3;0.9787798408488063;0.0413;0.95;0.06418918918918919
828.0;9.0;1910.0;35.0;59.0;0.2;16.1;84.0;0.75;30.0;0.0;2500.0;55.0;45.0;0.0;0.0;2.5;1.1;30.0;40.0;100.0;100.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;press_speed > 2027.50 AND solvent_pct > 41.20;2;0.9758064516129032;0.0467;0.85;0.057432432432432436
821.0;7.0;1910.0;52.5;43.0;0.267;15.0;71.0;0.75;28.0;7.4;1500.0;53.2;39.4;0.0;0.0;2.5;1.0;34.0;40.0;98.3;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0;0;press_speed <= 1600.00 AND cylinder_size_catalog <= 0.00 AND grain_screened_no <= 0.00 AND blade_pressure > 25.00 AND proof_cut > 50.00;5;0.9627118644067797;0.0026;1.0;0.014492753623188406
802.0;7.0;1911.0;62.5;61.0;0.3;14.0;85.0;0.75;50.0;3.5;1660.0;56.8;39.7;2.0;0.0;3.0;1.0;32.0;40.0;93.75;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;press_type_albert70 > 0.00 AND esa_voltage > 0.00 AND varnish_pct > 0.00;3;0.9908015768725361;0.022;1.0;0.033783783783783786
813.0;5.0;1910.0;42.5;54.0;0.3;15.0;70.0;0.75;30.0;13.4;1500.0;48.1;38.5;2.0;0.0;2.5;1.0;60.0;45.0;93.75;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;varnish_pct > 9.72 AND press_type_motter70 > 0.00;2;0.9967320261437909;0.028;1.0;0.04391891891891892
815.0;2.0;1911.0;45.0;40.0;0.3;16.5;84.0;0.625;26.0;3.4;1565.0;56.75;38.5;0.0;0.0;2.5;1.0;34.0;40.0;106.6;95.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;varnish_pct <= 3.40 AND paper_type_super > 0.00;2;1.0;0.044;1.0;0.15217391304347827
816.0;9.0;1910.0;40.0;42.0;0.2;12.7;84.0;0.5;32.0;0.0;1750.0;62.5;37.5;0.0;0.0;2.5;0.9;40.0;40.0;100.0;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;0;varnish_pct <= 0.00 AND ink_type_coated <= 0.00 AND press > 815.00 AND humifity > 82.00;4;1.0;0.0108;1.0;0.036231884057971016
