left_weight;left_distance;right_weight;right_distance;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
5.0;1.0;3.0;5.0;2;2;right_distance > 4.00 AND left_distance <= 2.00 AND right_weight > 2.00;3;1.0;0.0484;1.0;0.11304347826086956
4.0;4.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_distance <= 4.00;3;0.9872262773722628;0.0631;1.0;0.14782608695652175
1.0;1.0;2.0;2.0;2;2;left_weight <= 2.00 AND left_distance <= 2.00;2;0.8443271767810027;0.1681;0.8433734939759037;0.30434782608695654
1.0;5.0;1.0;5.0;0;0;left_weight <= 2.00 AND right_weight <= 2.00 AND right_distance > 4.00 AND left_distance > 4.00;4;0.4746666666666667;0.0075;0.75;0.07692307692307693
1.0;5.0;3.0;5.0;2;2;left_weight <= 2.00 AND right_weight > 2.00 AND right_distance > 3.00;3;1.0;0.1047;1.0;0.2217391304347826
4.0;5.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND left_distance > 2.00;3;1.0;0.0985;1.0;0.19658119658119658
4.0;5.0;5.0;2.0;1;1;right_distance <= 2.00 AND left_distance > 4.00 AND left_weight > 3.00;3;1.0;0.0289;1.0;0.06837606837606838
4.0;5.0;4.0;5.0;0;0;left_distance > 4.00 AND right_distance > 4.00 AND 3.00 < right_weight <= 4.00 AND 2.00 < left_weight <= 4.00;4;1.0;0.0015;1.0;0.05128205128205128
5.0;3.0;4.0;4.0;2;2;right_distance > 3.00 AND right_weight > 3.00 AND left_distance <= 3.00;3;1.0;0.0994;1.0;0.2217391304347826
4.0;3.0;1.0;4.0;1;1;right_weight <= 2.00 AND left_weight > 3.00 AND left_distance > 2.00;3;1.0;0.0909;1.0;0.19658119658119658
3.0;3.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND left_distance > 2.00;3;0.9860627177700348;0.1432;0.9859154929577465;0.29914529914529914
4.0;2.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_weight > 2.00 AND right_weight <= 4.00;3;0.8894952251023193;0.1908;0.9175257731958762;0.3803418803418803
4.0;1.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.961764705882353;0.0401;0.9523809523809523;0.08695652173913043
3.0;2.0;4.0;1.0;1;1;right_distance <= 2.00 AND 2.00 < left_weight <= 3.00 AND right_weight <= 4.00;3;0.9069212410501193;0.0528;0.9259259259259259;0.10683760683760683
5.0;3.0;2.0;4.0;1;1;left_weight > 4.00 AND right_weight <= 2.00 AND left_distance > 2.00;3;1.0;0.036;1.0;0.08547008547008547
2.0;3.0;1.0;3.0;1;1;right_weight <= 2.00 AND left_distance > 2.00 AND right_distance <= 3.00;3;0.9570135746606335;0.1441;0.9428571428571428;0.28205128205128205
4.0;4.0;5.0;4.0;2;2;right_weight > 4.00 AND right_distance > 3.00 AND left_distance <= 4.00;3;0.9930795847750865;0.064;0.9696969696969697;0.1391304347826087
1.0;2.0;4.0;3.0;2;2;left_weight <= 2.00 AND right_distance > 2.00 AND right_weight > 3.00;3;1.0;0.1035;1.0;0.23043478260869565
1.0;3.0;5.0;4.0;2;2;left_weight <= 2.00 AND right_weight > 4.00 AND right_distance > 2.00;3;1.0;0.0509;1.0;0.11304347826086956
5.0;2.0;4.0;2.0;1;1;left_weight > 4.00 AND right_distance <= 2.00 AND right_weight <= 4.00;3;0.9172749391727494;0.073;0.9444444444444444;0.1452991452991453
