compactness;circularity;distance_circularity;radius_ratio;pr_axis_aspect_ratio;max_length_aspect_ratio;scatter_ratio;elongatedness;pr_axis_rectangularity;max_length_rectangularity;scaled_variance_major;scaled_variance_minor;scaled_radius_of_gyration;skewness_about_major;skewness_about_minor;kurtosis_about_major;kurtosis_about_minor;hollows_ratio;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
90.0;47.0;85.0;161.0;64.0;10.0;163.0;42.0;20.0;160.0;177.0;389.0;185.0;73.0;9.0;0.0;185.0;195.0;3;3;max_length_rectangularity > 146.00 AND scaled_variance_major <= 178.00 AND distance_circularity > 80.00 AND circularity > 40.00;4;1.0;0.0637;1.0;0.2625
102.0;52.0;101.0;213.0;64.0;10.0;203.0;33.0;23.0;157.0;214.0;616.0;186.0;65.0;0.0;19.0;193.0;203.0;1;1;max_length_aspect_ratio > 8.00 AND scatter_ratio > 197.25 AND hollows_ratio > 191.00 AND scaled_variance_major > 178.00 AND skewness_about_minor <= 9.00 AND scaled_variance_minor > 584.50 AND skewness_about_major <= 67.00 AND scaled_radius_of_gyration <= 198.00 AND kurtosis_about_major <= 19.00;9;0.9629629629629629;0.0074;1.0;0.03278688524590164
105.0;53.0;108.0;206.0;63.0;12.0;222.0;31.0;25.0;168.0;226.0;712.0;201.0;71.0;15.0;35.0;189.0;203.0;2;2;hollows_ratio > 201.00 AND distance_circularity > 98.00 AND max_length_aspect_ratio > 10.00 AND radius_ratio > 196.00 AND compactness > 100.00 AND scaled_variance_minor > 365.00 AND skewness_about_major <= 75.00 AND scaled_variance_major > 217.00 AND skewness_about_minor > 9.00 AND kurtosis_about_major > 19.00 AND pr_axis_aspect_ratio > 61.00 AND scaled_radius_of_gyration > 198.00 AND kurtosis_about_minor > 184.00;13;0.9611650485436893;0.008;1.0;0.041176470588235294
115.0;52.0;100.0;203.0;62.0;10.0;217.0;31.0;24.0;165.0;229.0;697.0;214.0;72.0;14.0;4.0;188.0;197.0;2;2;scaled_radius_of_gyration > 198.00 AND distance_circularity > 98.00 AND 8.00 < max_length_aspect_ratio <= 10.00 AND radius_ratio > 168.00 AND 67.00 < skewness_about_major <= 75.00 AND scaled_variance_minor > 365.00 AND compactness > 100.00 AND 61.00 < pr_axis_aspect_ratio <= 65.00 AND scaled_variance_major > 217.00 AND kurtosis_about_minor > 184.00 AND hollows_ratio > 191.00 AND skewness_about_minor > 9.00;12;0.9868421052631579;0.0027;1.0;0.01764705882352941
109.0;55.0;96.0;191.0;57.0;6.0;241.0;28.0;26.0;170.0;267.0;857.0;242.0;85.0;8.0;9.0;184.0;184.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND compactness > 100.00;3;0.968421052631579;0.0346;1.0;0.1317365269461078
91.0;35.0;66.0;159.0;59.0;7.0;147.0;45.0;19.0;131.0;169.0;322.0;123.0;64.0;1.0;1.0;197.0;203.0;1;1;87.00 < compactness <= 93.00 AND skewness_about_major <= 67.00 AND 167.00 < scaled_variance_major <= 178.00 AND skewness_about_minor <= 2.00 AND pr_axis_aspect_ratio <= 61.00 AND hollows_ratio > 197.00 AND scaled_variance_minor > 319.00 AND elongatedness <= 46.00 AND kurtosis_about_minor > 193.25 AND 141.00 < radius_ratio <= 168.00 AND max_length_rectangularity <= 136.00 AND distance_circularity <= 70.00 AND scaled_radius_of_gyration <= 148.75 AND kurtosis_about_major <= 6.00 AND circularity <= 40.00 AND max_length_aspect_ratio <= 8.00 AND scatter_ratio <= 147.00;17;0.9508196721311475;0.0016;1.0;0.01092896174863388
98.0;58.0;101.0;208.0;65.0;12.0;226.0;30.0;25.0;182.0;225.0;748.0;216.0;71.0;6.0;1.0;185.0;196.0;1;1;scaled_variance_minor > 584.50 AND distance_circularity > 98.00 AND compactness <= 100.00 AND elongatedness <= 33.00 AND scatter_ratio > 197.25 AND max_length_aspect_ratio > 8.00 AND hollows_ratio <= 197.00 AND skewness_about_major <= 71.00;8;0.9545454545454546;0.0062;1.0;0.0273224043715847
96.0;37.0;74.0;187.0;68.0;8.0;159.0;42.0;20.0;134.0;183.0;378.0;134.0;69.0;3.0;16.0;190.0;197.0;2;2;67.00 < skewness_about_major <= 71.00 AND 168.00 < radius_ratio <= 196.00 AND max_length_aspect_ratio > 7.00 AND distance_circularity > 70.00 AND compactness > 93.00 AND scatter_ratio > 157.00 AND elongatedness <= 43.00 AND max_length_rectangularity <= 136.00 AND 189.00 < kurtosis_about_minor <= 193.25 AND hollows_ratio > 191.00 AND circularity <= 40.00 AND 2.00 < skewness_about_minor <= 9.00 AND scaled_variance_minor <= 584.50 AND pr_axis_rectangularity <= 20.00 AND kurtosis_about_major > 6.00 AND pr_axis_aspect_ratio > 57.00 AND 178.00 < scaled_variance_major <= 217.00 AND scaled_radius_of_gyration <= 198.00;18;0.9520295202952029;0.002;1.0;0.011764705882352941
88.0;35.0;60.0;143.0;59.0;7.0;128.0;52.0;18.0;129.0;147.0;246.0;109.0;62.0;1.0;6.0;202.0;209.0;3;3;max_length_rectangularity <= 146.00 AND radius_ratio <= 168.00 AND compactness > 87.00 AND elongatedness > 46.00 AND scaled_variance_minor <= 365.00 AND scaled_variance_major <= 167.00 AND kurtosis_about_major <= 6.00 AND scatter_ratio <= 147.00 AND hollows_ratio > 201.00 AND skewness_about_minor <= 2.00;10;0.9761904761904762;0.0015;1.0;0.0125
86.0;38.0;76.0;143.0;59.0;8.0;142.0;47.0;18.0;131.0;167.0;301.0;138.0;71.0;5.0;10.0;189.0;196.0;3;3;max_length_rectangularity <= 146.00 AND elongatedness > 46.00 AND kurtosis_about_major <= 19.00 AND max_length_aspect_ratio > 7.00;4;0.9528023598820059;0.034;0.9259259259259259;0.15625
84.0;43.0;70.0;123.0;54.0;8.0;151.0;45.0;19.0;146.0;173.0;332.0;176.0;81.0;1.0;12.0;181.0;184.0;0;0;max_length_aspect_ratio <= 8.00 AND skewness_about_major > 75.00 AND scatter_ratio > 147.00 AND distance_circularity <= 70.00 AND skewness_about_minor <= 2.00;5;1.0;0.018;1.0;0.0658682634730539
89.0;44.0;68.0;113.0;50.0;7.0;150.0;45.0;19.0;147.0;171.0;328.0;189.0;88.0;6.0;5.0;179.0;182.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND scaled_variance_minor > 319.00 AND distance_circularity <= 70.00;4;0.9543147208121827;0.0384;0.9230769230769231;0.1437125748502994
90.0;43.0;72.0;172.0;59.0;8.0;154.0;42.0;19.0;144.0;174.0;360.0;158.0;61.0;15.0;9.0;203.0;209.0;2;2;distance_circularity > 70.00 AND radius_ratio > 168.00 AND max_length_aspect_ratio > 7.00 AND elongatedness <= 43.00 AND kurtosis_about_minor > 184.00 AND hollows_ratio > 201.00 AND scatter_ratio > 147.00 AND skewness_about_major <= 71.00 AND pr_axis_aspect_ratio <= 61.00 AND 319.00 < scaled_variance_minor <= 584.50 AND compactness > 87.00 AND max_length_rectangularity <= 146.00 AND circularity <= 44.00 AND scaled_variance_major <= 178.00;14;0.9606299212598425;0.0059;1.0;0.029411764705882353
80.0;39.0;60.0;122.0;56.0;6.0;139.0;49.0;18.0;131.0;151.0;281.0;142.0;80.0;0.0;5.0;179.0;186.0;1;1;compactness <= 87.00 AND skewness_about_minor <= 2.00 AND kurtosis_about_minor <= 184.00 AND scaled_radius_of_gyration <= 148.75 AND pr_axis_aspect_ratio <= 57.00 AND max_length_rectangularity <= 136.00 AND circularity <= 40.00 AND kurtosis_about_major <= 6.00 AND radius_ratio <= 168.00 AND hollows_ratio <= 201.00 AND elongatedness > 33.00 AND scaled_variance_major <= 217.00 AND max_length_aspect_ratio <= 10.00;13;0.8246445497630331;0.0049;0.5;0.01092896174863388
94.0;39.0;75.0;184.0;72.0;8.0;155.0;42.0;19.0;133.0;175.0;365.0;145.0;70.0;4.0;5.0;192.0;200.0;0;0;max_length_aspect_ratio <= 8.00 AND pr_axis_aspect_ratio > 65.00 AND distance_circularity <= 80.00 AND compactness > 93.00;4;0.9550321199143469;0.0447;0.967741935483871;0.17964071856287425
91.0;42.0;66.0;142.0;58.0;9.0;134.0;50.0;18.0;142.0;163.0;268.0;164.0;69.0;6.0;5.0;191.0;197.0;3;3;max_length_aspect_ratio > 8.00 AND scatter_ratio <= 147.00 AND max_length_rectangularity > 136.00 AND elongatedness > 46.00 AND kurtosis_about_major <= 6.00;5;1.0;0.0041;1.0;0.025
100.0;43.0;92.0;197.0;62.0;10.0;180.0;36.0;21.0;143.0;200.0;489.0;153.0;64.0;6.0;9.0;195.0;205.0;2;2;scaled_variance_minor > 319.00 AND scaled_variance_major > 178.00 AND skewness_about_major <= 75.00 AND distance_circularity > 80.00 AND hollows_ratio > 201.00 AND compactness > 93.00 AND max_length_rectangularity <= 146.00 AND pr_axis_rectangularity > 20.00 AND 7.00 < max_length_aspect_ratio <= 10.00 AND radius_ratio > 168.00 AND scaled_radius_of_gyration > 148.75 AND circularity <= 49.00 AND skewness_about_minor > 2.00 AND elongatedness <= 43.00 AND kurtosis_about_major <= 19.00 AND scatter_ratio > 157.00;16;0.9641434262948207;0.0016;1.0;0.011764705882352941
86.0;37.0;69.0;150.0;63.0;8.0;138.0;48.0;18.0;134.0;163.0;284.0;124.0;71.0;1.0;6.0;189.0;195.0;3;3;max_length_aspect_ratio > 7.00 AND elongatedness > 46.00 AND scaled_variance_minor <= 365.00 AND kurtosis_about_major <= 19.00 AND kurtosis_about_minor > 184.00 AND distance_circularity <= 70.00 AND scaled_variance_major <= 167.00 AND pr_axis_aspect_ratio > 61.00 AND hollows_ratio > 191.00;9;0.9658792650918635;0.0079;1.0;0.04375
107.0;57.0;102.0;184.0;55.0;7.0;234.0;28.0;26.0;171.0;243.0;822.0;229.0;77.0;7.0;11.0;187.0;187.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND compactness > 100.00;3;0.9893899204244032;0.0326;1.0;0.1317365269461078
86.0;46.0;70.0;149.0;65.0;8.0;149.0;45.0;19.0;146.0;170.0;331.0;185.0;77.0;6.0;6.0;183.0;188.0;0;0;max_length_aspect_ratio <= 8.00 AND skewness_about_major > 75.00 AND pr_axis_aspect_ratio > 61.00 AND kurtosis_about_major <= 6.00;4;1.0;0.0056;1.0;0.03592814371257485
98.0;39.0;68.0;121.0;49.0;7.0;134.0;51.0;18.0;142.0;164.0;261.0;134.0;75.0;4.0;1.0;186.0;186.0;3;3;max_length_rectangularity > 136.00 AND elongatedness > 46.00 AND compactness > 87.00 AND kurtosis_about_major <= 6.00;4;0.9755244755244755;0.0252;0.9411764705882353;0.1
98.0;51.0;84.0;207.0;72.0;7.0;184.0;35.0;21.0;161.0;199.0;520.0;198.0;72.0;9.0;11.0;196.0;199.0;0;0;max_length_aspect_ratio <= 7.00 AND pr_axis_aspect_ratio > 65.00 AND kurtosis_about_minor > 193.25 AND skewness_about_major > 71.00;4;1.0;0.0172;1.0;0.07784431137724551
95.0;53.0;95.0;202.0;65.0;10.0;193.0;34.0;22.0;160.0;220.0;559.0;237.0;71.0;3.0;2.0;188.0;196.0;2;2;scaled_variance_major > 167.00 AND circularity > 49.00 AND hollows_ratio > 191.00 AND skewness_about_major <= 71.00 AND distance_circularity > 80.00 AND pr_axis_rectangularity > 20.00 AND compactness > 93.00 AND radius_ratio > 196.00 AND scaled_radius_of_gyration > 198.00 AND 365.00 < scaled_variance_minor <= 584.50 AND 61.00 < pr_axis_aspect_ratio <= 65.00 AND 157.00 < scatter_ratio <= 197.25 AND kurtosis_about_minor <= 189.00 AND max_length_rectangularity <= 160.00 AND max_length_aspect_ratio > 7.00 AND skewness_about_minor > 2.00 AND elongatedness <= 43.00;17;0.966789667896679;0.0017;1.0;0.011764705882352941
85.0;40.0;75.0;137.0;56.0;7.0;152.0;44.0;19.0;134.0;173.0;339.0;160.0;76.0;7.0;16.0;182.0;187.0;2;2;scaled_variance_minor <= 365.00 AND max_length_rectangularity <= 136.00 AND 148.75 < scaled_radius_of_gyration <= 198.00 AND elongatedness > 43.00 AND circularity <= 40.00 AND max_length_aspect_ratio <= 7.00 AND 11.00 < kurtosis_about_major <= 19.00 AND pr_axis_aspect_ratio <= 57.00 AND 147.00 < scatter_ratio <= 157.00 AND 70.00 < distance_circularity <= 80.00 AND 2.00 < skewness_about_minor <= 9.00 AND kurtosis_about_minor <= 189.00 AND 167.00 < scaled_variance_major <= 178.00 AND skewness_about_major > 75.00 AND radius_ratio <= 141.00;15;0.9508196721311475;0.0016;1.0;0.011764705882352941
