V1;V2;V3;V4;V5;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
-0.7457550000000001;-0.952335;0.5436350000000001;1.7420650000000002;-1.23233;0;0;V5 <= 0.23 AND V3 <= 0.78;2;0.79745889387145;0.5869;0.8034934497816594;0.6693121693121693
0.038216;0.465684;1.6569;-1.163126;-0.51627;1;1;V4 <= -0.14 AND -0.54 < V5 <= 0.23;2;0.9862804878048781;0.3443;0.031187790311877902;0.0361260568793236
-0.726194;-0.619947;0.380997;1.871852;-1.3686040000000002;1;1;V4 > 0.68 AND -0.05 < V3 <= 0.78 AND V1 <= 0.34 AND -0.78 < V2 <= 0.69;4;0.912828947368421;0.0574;0.8951612903225806;0.1706379707916987
-0.8574719999999999;-1.136624;-0.515679;0.177049;-0.1365829999999999;0;1;V5 <= 0.23 AND V4 <= 0.68 AND V3 <= -0.05;3;0.9631336405529954;0.3506;0.04073319755600815;0.04611837048424289
0.345993;1.278355;0.908794;-0.8986049999999999;-0.408211;1;1;V3 > 0.78 AND V1 > 0.34 AND V2 > -0.23 AND V5 <= -0.21 AND V4 <= -0.76;5;1.0;0.0062;1.0;0.021521906225980016
0.3287239999999999;1.667201;-1.331665;-0.098544;0.49754;0;0;V2 > 0.69 AND V3 <= -0.95;2;1.0;0.1474;1.0;0.20965608465608465
-0.606698;-0.151372;-0.015472;1.118762;-1.421849;1;1;V4 > 0.68 AND -0.05 < V3 <= 0.78 AND -0.67 < V1 <= 0.34 AND -0.23 < V2 <= 0.69;4;0.986784140969163;0.0101;1.0;0.034588777863182166
-0.326434;1.079203;1.497709;-1.25101;-0.677501;0;0;V4 <= -0.76 AND V2 > 0.69;2;0.9913793103448276;0.0641;0.9532374100719424;0.08763227513227513
2.793454;-1.90643;-0.967459;-0.383116;-0.261464;0;0;V3 <= -0.95 AND V4 <= -0.14;2;1.0;0.1868;0.9939172749391727;0.2701719576719577
1.510677;1.033072;-0.238969;0.215279;0.324021;0;0;V2 > 0.69 AND V4 <= 0.68;2;0.9703087885985748;0.2374;0.9732408325074331;0.3247354497354497
1.892578;-1.158386;-0.676199;-0.304336;-0.24579;0;0;V4 <= -0.14 AND V3 <= -0.05;2;0.9557661927330173;0.3105;0.9828486204325131;0.43584656084656087
-0.544403;-0.765846;1.959905;0.52751;0.476997;0;0;-0.76 < V4 <= 0.68 AND V2 > -0.78 AND -0.67 < V1 <= -0.38 AND V5 > -0.54;4;0.8416523235800344;0.0651;0.8200692041522492;0.07837301587301587
1.6865880000000002;1.131338;-0.229007;0.018277;0.234877;0;0;V2 > 0.69 AND V4 <= 0.68;2;0.9642384105960264;0.2258;0.9732408325074331;0.3247354497354497
-0.4500909999999999;-0.350263;0.5202399999999999;0.585585;3.54023;1;1;V5 > 0.23 AND -0.05 < V3 <= 0.78 AND -0.78 < V2 <= -0.23 AND V4 > -0.14;4;0.9626865671641791;0.0167;0.9324324324324325;0.053036126056879324
-0.369225;1.069145;0.086724;-0.818018;-0.4108;0;0;V4 <= -0.76 AND V2 > 0.69;2;0.971830985915493;0.0662;0.9532374100719424;0.08763227513227513
