press;unit_number;plating_tank;proof_cut;viscosity;caliper;ink_temperature;humifity;roughness;blade_pressure;varnish_pct;press_speed;ink_pct;solvent_pct;esa_voltage;esa_amperage;wax;hardener;roller_durometer;current_density;anode_space_ratio;chrome_content;grain_screened_no;grain_screened_yes;ink_color_key;proof_on_ctd_ink_no;proof_on_ctd_ink_yes;blade_mfg_benton;blade_mfg_uddeholm;cylinder_division_gallatin;paper_type_coated;paper_type_super;paper_type_uncoated;ink_type_coated;ink_type_cover;ink_type_uncoated;direct_steam_no;direct_steam_yes;solvent_type_line;solvent_type_naptha;solvent_type_xylol;type_on_cylinder_no;type_on_cylinder_yes;press_type_albert70;press_type_motter70;press_type_motter94;press_type_woodhoe70;cylinder_size_catalog;cylinder_size_spiegel;cylinder_size_tabloid;paper_mill_location_canadian;paper_mill_location_mideuropean;paper_mill_location_northus;paper_mill_location_scandanavian;paper_mill_location_southus;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
815.0;2.0;1910.0;45.0;42.0;0.233;16.0;84.0;0.625;28.0;0.0;2220.0;54.3;45.7;0.0;0.0;2.5;1.0;30.0;35.0;100.0;100.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1;1;press_speed > 2027.50 AND paper_mill_location_canadian > 0.00 AND ink_pct <= 56.75;3;0.9539141414141414;0.0458;1.0;0.08300395256916997
815.0;9.0;1910.0;37.5;56.0;0.3;14.0;82.0;0.625;28.0;0.0;1700.0;58.8;41.2;2.0;0.0;2.5;0.5;40.0;35.0;100.0;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;direct_steam_no <= 1.00 AND hardener <= 0.80 AND caliper > 0.20 AND solvent_type_xylol > 0.00;4;0.987012987012987;0.0122;1.0;0.023715415019762844
815.0;1.0;1910.0;45.0;46.0;0.2;14.2;75.0;0.75;25.0;3.4;2050.0;56.75;38.5;0.0;0.0;2.5;1.0;34.0;40.0;108.1;100.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;paper_type_uncoated <= 0.00 AND paper_type_super > 0.00;2;1.0;0.0473;1.0;0.11602209944751381
827.0;9.0;1911.0;45.0;42.0;0.333;14.0;75.0;1.0;20.0;0.0;1800.0;58.9;41.1;8.0;0.0;3.0;2.0;35.0;40.0;100.0;100.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;esa_voltage > 0.00 AND press > 824.00 AND grain_screened_no > 0.00 AND press_speed <= 1800.00;4;1.0;0.01;1.0;0.019762845849802372
828.0;9.0;1910.0;35.0;59.0;0.2;16.1;84.0;0.75;30.0;0.0;2500.0;55.0;45.0;0.0;0.0;2.5;1.1;30.0;40.0;100.0;100.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;press_speed > 2027.50 AND press > 824.00 AND viscosity > 56.00;3;0.9671641791044776;0.0279;1.0;0.05138339920948617
821.0;7.0;1910.0;52.5;43.0;0.267;15.0;71.0;0.75;28.0;7.4;1500.0;53.2;39.4;0.0;0.0;2.5;1.0;34.0;40.0;98.3;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0;0;press > 816.00 AND grain_screened_no <= 0.00 AND varnish_pct <= 9.72 AND ink_pct <= 56.75 AND roller_durometer <= 34.00 AND anode_space_ratio <= 103.12;6;1.0;0.0178;1.0;0.04419889502762431
802.0;7.0;1911.0;62.5;61.0;0.3;14.0;85.0;0.75;50.0;3.5;1660.0;56.8;39.7;2.0;0.0;3.0;1.0;32.0;40.0;93.75;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;press_type_woodhoe70 <= 0.00 AND varnish_pct > 3.40 AND humifity > 82.00 AND wax > 2.60 AND ink_pct > 56.75 AND roller_durometer <= 34.00 AND ink_temperature <= 16.00 AND press_speed > 1600.00;8;0.9673202614379085;0.0019;1.0;0.007905138339920948
813.0;5.0;1910.0;42.5;54.0;0.3;15.0;70.0;0.75;30.0;13.4;1500.0;48.1;38.5;2.0;0.0;2.5;1.0;60.0;45.0;93.75;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;grain_screened_no <= 0.00 AND current_density > 40.00;2;1.0;0.0058;1.0;0.015810276679841896
815.0;2.0;1911.0;45.0;40.0;0.3;16.5;84.0;0.625;26.0;3.4;1565.0;56.75;38.5;0.0;0.0;2.5;1.0;34.0;40.0;106.6;95.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;blade_pressure > 25.00 AND paper_type_super > 0.00;2;1.0;0.0374;1.0;0.09392265193370165
816.0;9.0;1910.0;40.0;42.0;0.2;12.7;84.0;0.5;32.0;0.0;1750.0;62.5;37.5;0.0;0.0;2.5;0.9;40.0;40.0;100.0;100.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;press_speed > 1600.00 AND paper_mill_location_northus > 0.00 AND viscosity <= 44.00 AND 36.88 < solvent_pct <= 41.20 AND proof_cut <= 40.00 AND type_on_cylinder_yes > 0.00 AND unit_number > 2.00 AND plating_tank <= 1910.00 AND paper_type_super <= 0.00 AND type_on_cylinder_no <= 0.00 AND hardener <= 1.00 AND proof_on_ctd_ink_yes <= 1.00 AND blade_pressure <= 32.00 AND humifity > 78.00 AND ink_pct > 56.75 AND anode_space_ratio <= 106.45 AND wax > 2.40 AND paper_mill_location_southus <= 0.00 AND press_type_motter94 <= 1.00 AND caliper <= 0.30;20;0.953125;0.0047;1.0;0.011857707509881422
