GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan,class
123.292093,230.982906,110.74359,648.128205,31.529934,0
131.154286,186.030303,76.80303,323.515152,18.762666,0
130.76656200000002,217.0,97.4,648.4,24.676862,0
127.32608700000002,177.419753,77.82715999999999,276.444444,21.620241,0
153.375,208.5,96.75,499.25,19.868316,0
121.088363,426.687831,304.216931,360.179894,24.990336,0
122.871528,240.611111,110.111111,704.611111,20.232598,0
122.3125,227.142857,104.761905,635.690476,27.921507,0
144.11842099999998,226.947368,100.473684,647.578947,19.215068,0
120.233957,311.531915,201.680851,433.340426,38.814296,0
148.9125,181.0,78.2,451.4,18.655026,0
146.765306,243.684211,147.94736799999998,252.473684,12.801489,0
114.703065,228.909091,102.787879,579.484849,19.233713,0
120.707237,380.947368,296.421053,443.947368,27.759453000000004,0
110.681102,209.6875,89.5625,541.8125,32.568917,0
138.035197,211.725275,98.692308,407.285714,27.347725,0
115.960094,234.518519,103.296296,644.888889,42.320775,0
127.761571,200.651852,87.38518499999999,506.585185,27.739306,0
126.593276,204.603448,91.413793,401.293103,24.387119,0
115.447038,225.485714,99.228571,709.7428570000001,28.951529,0
87.3125,199.5,88.0,546.0,7.968689,0
126.412214,260.767956,141.287293,442.359116,40.569337,0
128.181522,244.680412,140.237113,414.608247,23.704575,0
120.625,438.0,268.0,461.0,31.613921,0
131.020896,231.261905,108.142857,606.761905,26.084863,0
112.45,246.2,114.0,699.6,25.895173,0
137.783379,228.5,106.913044,514.804348,31.802141,0
135.31746,215.416667,97.083333,366.833333,14.761766,0
126.463415,195.0,85.25,86.5,7.327175,0
127.218812,190.314961,110.102362,383.393701,19.666454,1
127.892857,222.857143,104.428571,712.142857,15.106425,0
93.218391,218.636364,101.818182,739.2727269999999,6.863486,0
128.384863,201.589744,88.87179499999999,502.179487,18.730449,0
136.476923,233.341463,114.829268,430.536585,14.703171,0
137.278646,209.666667,91.166667,495.666667,35.702766,0
136.476923,233.341463,114.829268,430.536585,14.703171,0
146.23076899999998,214.153846,99.153846,509.153846,20.54091,0
140.710227,225.090909,100.272727,672.7272730000001,18.776194,0
106.942935,252.478261,114.086957,792.2608700000001,14.37573,0
128.02390400000002,243.0,112.25,827.5,14.857132,0
132.09584099999998,281.914286,180.257143,421.628571,13.573263,0
110.555276,200.96,91.2,522.96,32.160697,0
126.676667,202.736842,89.315789,495.0,22.799013,0
105.872549,220.769231,101.769231,686.538462,27.062933,0
144.92132,197.8,85.92,353.96,14.99632,0
136.38738700000002,212.428571,99.285714,652.714286,51.966237,0
138.049342,211.473684,92.578947,560.31579,29.207539,0
137.522073,227.181818,133.94949499999998,246.626263,14.945495,0
114.392569,240.820513,119.384615,688.666667,11.313592,0
141.554688,252.0,115.75,696.25,21.987212,0
124.447802,165.913044,75.086957,278.0,12.517511,0
137.625561,195.904762,86.72619,473.011905,26.273362,0
128.42129599999998,226.0,103.666667,694.7407410000001,48.720445,0
104.7,275.1,178.0,462.7,41.253,0
133.149351,186.413793,77.517241,281.689655,28.961453,0
139.754098,236.142857,103.571429,715.761905,29.925417,0
119.296875,229.166667,108.083333,660.25,34.223124,0
135.580037,197.615385,88.336538,354.384615,18.105736,0
134.91964299999998,206.142857,89.095238,480.428571,12.692777,0
116.598168,259.645833,137.020833,563.8125,20.575403,0
130.26086999999998,239.565217,116.956522,531.695652,19.747173,0
118.528721,209.083333,93.854167,463.979167,23.879762,0
136.81885400000002,214.705882,93.147059,447.73529400000007,34.454122,0
124.159722,227.111111,118.222222,418.777778,50.435297,0
129.703812,182.372093,74.883721,292.674419,13.405923,0
147.926136,200.181818,95.636364,420.818182,21.050117,0
120.09913799999998,211.965517,91.827586,557.965517,21.478247,0
121.2125,195.166667,88.033333,347.533333,39.113794,0
136.059603,224.473684,98.0,625.578947,20.354749,0
122.572243,228.636364,100.151515,609.454546,16.429721,0
112.595238,190.285714,83.285714,355.142857,31.16673,0
126.01378,233.59375,112.71875,667.84375,27.522079,0
121.61126000000002,199.744681,121.06383,338.12766,15.019107,1
143.49768500000002,267.703704,149.37037,568.925926,15.149461,0
129.479167,226.555556,99.666667,571.666667,31.159486,0
134.0125,208.8,85.4,465.2,17.453939000000002,0
132.966912,261.647059,105.823529,870.705882,18.61372,0
120.142271,203.717391,91.782609,676.076087,27.936449,0
97.991071,221.571429,106.857143,589.428571,34.561392,0
117.1875,213.583333,92.583333,519.166667,33.190946000000004,0
