V1;V2;V3;V4;V5;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
-0.7457550000000001;-0.952335;0.5436350000000001;1.7420650000000002;-1.23233;0;0;V1 <= -0.67 AND V5 <= -0.21;2;0.8408450704225352;0.0945;0.6401985111662531;0.08509234828496043
0.038216;0.465684;1.6569;-1.163126;-0.51627;1;1;V2 <= 0.69 AND V3 > 0.78 AND -0.38 < V1 <= 0.34 AND V5 <= -0.21 AND V4 <= -0.76;5;0.8393316195372751;0.0075;0.8095238095238095;0.026295436968290797
-0.726194;-0.619947;0.380997;1.871852;-1.3686040000000002;1;1;V4 > 0.68 AND -0.05 < V3 <= 0.78 AND -0.78 < V2 <= -0.23 AND V1 <= 0.34;4;0.9026548672566371;0.0439;0.766497461928934;0.11678267594740913
-0.8574719999999999;-1.136624;-0.515679;0.177049;-0.1365829999999999;0;0;V3 <= -0.05 AND V4 <= 0.68 AND -0.54 < V5 <= 0.23;3;0.9608745684695051;0.3015;0.9607250755287009;0.41952506596306066
0.345993;1.278355;0.908794;-0.8986049999999999;-0.408211;1;1;V3 > 0.78 AND V2 > 0.69 AND V1 > 0.34 AND V5 <= -0.21;4;0.8092105263157895;0.0016;1.0;0.005413766434648105
0.3287239999999999;1.667201;-1.331665;-0.098544;0.49754;0;0;V2 > 0.69 AND V3 <= -0.05;2;0.9817232375979112;0.1671;0.9613259668508287;0.22955145118733508
-0.606698;-0.151372;-0.015472;1.118762;-1.421849;1;1;V4 > 0.68 AND -0.05 < V3 <= 0.78 AND -0.67 < V1 <= 0.34 AND -0.78 < V2 <= 0.69;4;0.9544072948328267;0.0304;0.890625;0.08816705336426914
-0.326434;1.079203;1.497709;-1.25101;-0.677501;0;0;V2 > 0.69 AND V4 <= -0.14;2;0.9618181818181818;0.1401;0.9379084967320261;0.18931398416886544
2.793454;-1.90643;-0.967459;-0.383116;-0.261464;0;0;V1 > 0.34 AND V3 <= -0.95;2;0.9911894273127754;0.0887;0.9848101265822785;0.12829815303430078
1.510677;1.033072;-0.238969;0.215279;0.324021;0;0;V2 > 0.69 AND V3 <= -0.05;2;0.9761904761904762;0.167;0.9613259668508287;0.22955145118733508
1.892578;-1.158386;-0.676199;-0.304336;-0.24579;0;0;V1 > 0.34 AND V3 <= -0.05;2;0.9750889679715302;0.2013;0.9899103139013453;0.2912269129287599
-0.544403;-0.765846;1.959905;0.52751;0.476997;0;0;V4 <= 0.68 AND -0.67 < V1 <= -0.38 AND V2 > -0.78;3;0.8395522388059702;0.1591;0.8037518037518038;0.18370712401055408
1.6865880000000002;1.131338;-0.229007;0.018277;0.234877;0;0;V1 > 0.34 AND V3 <= -0.05;2;0.9755501222493888;0.2042;0.9899103139013453;0.2912269129287599
-0.4500909999999999;-0.350263;0.5202399999999999;0.585585;3.54023;1;1;-0.78 < V2 <= -0.23 AND -0.05 < V3 <= 0.78 AND V5 > 0.23 AND V1 <= 0.34;4;0.9514563106796117;0.0145;0.9620253164556962;0.05877803557617943
-0.369225;1.069145;0.086724;-0.818018;-0.4108;0;0;V2 > 0.69 AND V4 <= -0.14;2;0.9637883008356546;0.1367;0.9379084967320261;0.18931398416886544
-0.570908;-0.971824;0.91035;1.307141;-1.497809;0;0;V1 <= -0.38 AND V5 <= -0.54 AND V3 > 0.78;3;0.8469696969696969;0.0693;0.7566666666666667;0.07486807387862797
-1.013753;-0.713986;0.477655;1.085028;-0.1365829999999999;1;1;V4 > 0.68 AND -0.05 < V3 <= 0.78 AND -0.78 < V2 <= -0.23 AND V1 <= 0.34;4;0.8980099502487562;0.0448;0.766497461928934;0.11678267594740913
-0.2706989999999999;-0.132008;0.386854;2.191187;-1.352961;1;1;V4 > 0.68 AND V3 > -0.05 AND -0.38 < V1 <= 0.34 AND V2 > -0.23;4;0.9608540925266904;0.0124;0.8805970149253731;0.04563031709203403
-0.521675;-0.076183;0.8469959999999999;0.361465;-0.960483;0;0;V2 > -0.23 AND V4 <= 0.68 AND V1 <= -0.38 AND V5 <= -0.21;4;0.9702970297029703;0.0947;0.929471032745592;0.1217018469656992
2.452288;0.270151;-1.0904049999999998;0.138923;-0.4794609999999999;0;0;V1 > 0.34 AND V3 <= -0.95;2;0.9878048780487805;0.0883;0.9848101265822785;0.12829815303430078
-0.7623449999999999;-0.367343;1.970754;-1.339041;-0.1365829999999999;0;0;V1 <= -0.67 AND V4 <= -0.14 AND V5 <= 0.23;3;0.9586374695863747;0.0623;0.8226415094339623;0.07189973614775726
1.428533;-0.854092;1.420253;-1.059257;-0.416454;0;0;V1 > 0.34 AND V4 <= -0.14 AND V2 <= -0.78;3;0.9797979797979798;0.0635;1.0;0.09630606860158311
-0.689469;-0.319754;1.878796;-1.557866;0.934386;0;0;V1 <= -0.67 AND V4 <= -0.14 AND V2 > -0.78;3;0.9318181818181818;0.0489;0.8591549295774648;0.06035620052770448
-0.6396390000000001;0.067356;1.200604;-1.408566;-0.804025;0;0;V2 > -0.23 AND V4 <= -0.14 AND V1 <= -0.38;3;0.9786096256684492;0.1002;0.9250585480093677;0.13027704485488126
-0.7542989999999999;-0.353471;1.3827459999999998;-1.457278;-1.1715;0;0;V1 <= -0.67 AND V4 <= -0.14 AND V2 > -0.78 AND V5 <= 0.23;4;0.9650092081031307;0.0424;0.9234972677595629;0.05573878627968338
0.57525;-0.173873;-1.08864;-0.36775;-0.248973;0;0;V1 > 0.34 AND V3 <= -0.95;2;0.989010989010989;0.0866;0.9848101265822785;0.12829815303430078
0.2365179999999999;1.08905;0.563204;0.5075069999999999;-0.5303399999999999;0;0;V2 > 0.69 AND V4 <= 0.68 AND V3 <= 0.78 AND V5 > -0.54;4;0.9566666666666667;0.1924;0.9280487804878049;0.2509894459102902
2.021175;-1.7635009999999998;-0.6007979999999999;-0.264611;-0.301413;0;0;V1 > 0.34 AND V3 <= -0.05;2;0.9835616438356164;0.2033;0.9899103139013453;0.2912269129287599
